Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Camden Orth,BGSU,['QB'],['31'],['51'],['60.8'],['354'],['6.9'],['42'],['3'],['4'],['3'],['122.8']
Jack Shields,ODU,['QB'],['25'],['47'],['53.2'],['353'],['7.5'],['49'],['2'],['3'],['10'],['117.6']
AJ Bianco,NEV,['QB'],['24'],['37'],['64.9'],['352'],['9.5'],['77'],['2'],['1'],['3'],['157.2']
Jack Salopek,WMU,['QB'],['42'],['63'],['66.7'],['316'],['5.0'],['31'],['1'],['2'],['5'],['107.7']
Miller Moss,USC,['QB'],['23'],['32'],['71.9'],['309'],['9.7'],['71'],['1'],['0'],['0'],['163.3']
Mike Wright,MSST,['QB'],['32'],['55'],['58.2'],['307'],['5.6'],['32'],['3'],['2'],['1'],['115.8']
Kiael Kelly,BALL,['QB'],['33'],['66'],['50.0'],['300'],['4.5'],['28'],['0'],['1'],['7'],['85.1']
Eddie Lee Marburger,UTSA,['QB'],['29'],['47'],['61.7'],['300'],['6.4'],['72'],['3'],['1'],['4'],['132.1']
Emory Williams,MIA,['QB'],['36'],['48'],['75.0'],['295'],['6.1'],['25'],['1'],['1'],['2'],['129.3']
Bert Emanuel Jr.,CMU,['QB'],['19'],['37'],['51.4'],['286'],['7.7'],['56'],['3'],['3'],['6'],['126.8']
Gio Lopez,USA,['QB'],['27'],['42'],['64.3'],['283'],['6.7'],['35'],['1'],['2'],['1'],['119.2']
Stone Earle,UNT,['QB'],['22'],['40'],['55.0'],['274'],['6.8'],['59'],['4'],['4'],['5'],['125.5']
Drew Pyne,ASU,['QB'],['26'],['49'],['53.1'],['273'],['5.6'],['52'],['2'],['3'],['11'],['101.1']
Avery Johnson,KSU,['QB'],['21'],['29'],['72.4'],['268'],['9.2'],['43'],['2'],['0'],['1'],['172.8']
Champ Harris,ARMY,['QB'],['19'],['34'],['55.9'],['260'],['7.6'],['43'],['0'],['3'],['7'],['102.5']
CJ Harris,OHIO,['QB'],['25'],['49'],['51.0'],['248'],['5.1'],['22'],['2'],['3'],['2'],['94.8']
Carlos Del Rio-Wilson,SYR,['QB'],['19'],['34'],['55.9'],['245'],['7.2'],['48'],['3'],['2'],['2'],['133.8']
Steve Angeli,ND,['QB'],['16'],['21'],['76.2'],['236'],['11.2'],['42'],['3'],['0'],['0'],['217.7']
Henry Belin IV,DUKE,['QB'],['13'],['26'],['50.0'],['232'],['8.9'],['69'],['3'],['1'],['2'],['155.3']
Aidan Chiles,ORST,['QB'],['18'],['24'],['75.0'],['229'],['9.5'],['52'],['3'],['0'],['2'],['196.4']
J.T. Shrout,ARST,['QB'],['24'],['51'],['47.1'],['227'],['4.5'],['47'],['0'],['2'],['1'],['76.6']
Dylan Morris,WASH,['QB'],['9'],['14'],['64.3'],['224'],['16.0'],['57'],['1'],['1'],['0'],['208.0']
Nicco Marchiol,WVU,['QB'],['26'],['45'],['57.8'],['221'],['4.9'],['29'],['2'],['2'],['5'],['104.8']
Jeff Sims,NEB,['QB'],['20'],['34'],['58.8'],['220'],['6.5'],['34'],['1'],['4'],['5'],['99.4']
Grayson James,FIU,['QB'],['19'],['37'],['51.4'],['218'],['5.9'],['60'],['1'],['1'],['6'],['104.4']
Maalik Murphy,TEX,['QB'],['20'],['33'],['60.6'],['217'],['6.6'],['30'],['2'],['1'],['1'],['129.8']
Braylon Braxton,TLSA,['QB'],['18'],['40'],['45.0'],['205'],['5.1'],['37'],['1'],['5'],['5'],['71.3']
Gunnar Gundy,OKST,['QB'],['21'],['34'],['61.8'],['202'],['5.9'],['39'],['1'],['0'],['5'],['121.4']
Doug Brumfield,UNLV,['QB'],['23'],['41'],['56.1'],['201'],['4.9'],['29'],['0'],['2'],['7'],['87.5']
Tucker Gleason,TOL,['QB'],['14'],['21'],['66.7'],['199'],['9.5'],['36'],['4'],['0'],['0'],['209.1']
Devin Brown,OSU,['QB'],['12'],['22'],['54.5'],['197'],['9.0'],['58'],['2'],['1'],['3'],['150.7']
Tahj Bullock,AKR,['QB'],['25'],['52'],['48.1'],['191'],['3.7'],['23'],['1'],['3'],['6'],['73.7']
Quincy Patterson,TEM,['QB'],['20'],['48'],['41.7'],['184'],['3.8'],['28'],['0'],['3'],['7'],['61.4']
Ty Thompson,ORE,['QB'],['14'],['17'],['82.4'],['180'],['10.6'],['60'],['2'],['0'],['0'],['210.1']
Devon Dampier,UNM,['QB'],['14'],['21'],['66.7'],['180'],['8.6'],['28'],['3'],['0'],['0'],['185.8']
John Mateer,WSU,['QB'],['10'],['13'],['76.9'],['177'],['13.6'],['72'],['2'],['1'],['0'],['226.7']
Owen McCown,UTSA,['QB'],['19'],['23'],['82.6'],['176'],['7.7'],['43'],['2'],['1'],['2'],['166.9']
Joseph Fagnano,CONN,['QB'],['18'],['35'],['51.4'],['173'],['4.9'],['28'],['0'],['1'],['4'],['87.2']
Garret Rangel,OKST,['QB'],['17'],['29'],['58.6'],['172'],['5.9'],['30'],['2'],['1'],['1'],['124.3']
Jackson Arnold,OU,['QB'],['13'],['15'],['86.7'],['169'],['11.3'],['50'],['2'],['0'],['0'],['225.3']
Michael Kern,WAKE,['QB'],['14'],['22'],['63.6'],['166'],['7.5'],['24'],['0'],['0'],['5'],['127.0']
Aveon Smith,M-OH,['QB'],['11'],['23'],['47.8'],['163'],['7.1'],['46'],['1'],['0'],['5'],['121.7']
Kevin Jennings,SMU,['QB'],['12'],['14'],['85.7'],['161'],['11.5'],['27'],['3'],['0'],['2'],['253.0']
Brock Vandagriff,UGA,['QB'],['11'],['17'],['64.7'],['160'],['9.4'],['56'],['2'],['0'],['0'],['182.6']
Spencer Sanders,MISS,['QB'],['11'],['17'],['64.7'],['156'],['9.2'],['43'],['2'],['0'],['0'],['180.6']
Tate Rodemaker,FSU,['QB'],['6'],['7'],['85.7'],['156'],['22.3'],['44'],['3'],['0'],['0'],['414.3']
Evan Svoboda,WYO,['QB'],['18'],['30'],['60.0'],['152'],['5.1'],['20'],['0'],['1'],['1'],['95.9']
Santino Marucci,WAKE,['QB'],['12'],['21'],['57.1'],['151'],['7.2'],['33'],['1'],['2'],['3'],['114.2']
Ethan Hampton,NIU,['QB'],['19'],['33'],['57.6'],['147'],['4.5'],['17'],['2'],['2'],['0'],['102.9']
Robby Ashford,AUB,['QB'],['14'],['26'],['53.8'],['145'],['5.6'],['39'],['2'],['1'],['2'],['118.4']
Brady Lichtenberg,CIN,['QB'],['10'],['16'],['62.5'],['144'],['9.0'],['65'],['2'],['0'],['0'],['179.4']
Garrett Nussmeier,LSU,['QB'],['12'],['23'],['52.2'],['143'],['6.2'],['51'],['1'],['0'],['0'],['118.7']
Kevin Hurley,UTEP,['QB'],['8'],['19'],['42.1'],['139'],['7.3'],['40'],['1'],['0'],['1'],['120.9']
John Paddock,ILL,['QB'],['12'],['23'],['52.2'],['137'],['6.0'],['31'],['1'],['0'],['2'],['116.6']
Jaxon Dailey,ARST,['QB'],['17'],['33'],['51.5'],['137'],['4.2'],['25'],['0'],['0'],['5'],['86.4']
Jack Tuttle,MICH,['QB'],['15'],['17'],['88.2'],['130'],['7.6'],['24'],['1'],['0'],['0'],['171.9']
Ahmad Haston,MASS,['QB'],['8'],['14'],['57.1'],['122'],['8.7'],['65'],['1'],['1'],['1'],['139.6']
Roman Fuller,TLSA,['QB'],['20'],['30'],['66.7'],['121'],['4.0'],['16'],['2'],['3'],['1'],['102.5']
