Player,School,POS,REC,YDS,AVG,LNG,TD
AnthonySambucci,WMU,'WR','14','247','17.6','64','4'
DylanGoffney,CSU,'WR','20','247','12.4','41','2'
TannerKoziol,BALL,'TE','29','247','8.5','26','2'
WarrenThompson,TCU,'WR','19','246','12.9','33','2'
TheoJohnson,PSU,'TE','24','246','10.3','34','4'
PhoenixSproles,JMU,'WR','29','245','8.4','32','2'
LakeMcRee,USC,'TE','23','245','10.7','31','1'
SkylerBell,WIS,'WR','29','245','8.4','30','1'
MoneyParks,UTAH,'WR','23','244','10.6','70','2'
DeQueceCarter,IU,'WR','16','243','15.2','90','1'
BlakeBosma,WMU,'TE','14','243','17.4','58','2'
TylerWalton,OHIO,'WR','26','242','9.3','27','2'
StefanCobbs,BOIS,'WR','23','241','10.5','40','1'
EliHeidenreich,NAVY,'RB','9','241','26.8','69','4'
BenjaminYurosek,STAN,'TE','16','239','14.9','32','1'
ZachariahBranch,USC,'WR','20','239','11.9','36','2'
JaredWiley,TCU,'TE','26','238','9.2','35','4'
JaydenHarrison,MRSH,'WR','18','237','13.2','35','1'
KyleMorlock,FSU,'TE','17','236','13.9','63','0'
JuniorSherrill,VAN,'WR','15','236','15.7','52','2'
RyanO'Keefe,BC,'WR','23','235','10.2','38','1'
OdieuHiliare,BGSU,'WR','23','235','10.2','32','2'
OmarionMiller,COLO,'WR','10','235','23.5','65','1'
AustinHence,WMU,'TE','22','235','10.7','32','2'
NickCenacle,HAW,'WR','21','235','11.2','52','1'
BillyBowens,BOIS,'WR','16','234','14.6','52','1'
Key'ShawnSmith,SMU,'WR','15','234','15.6','43','2'
QualiConley,SJSU,'RB','19','233','12.3','61','0'
DorianSinger,USC,'WR','22','232','10.5','30','3'
RomanHemby,MD,'RB','26','231','8.9','37','2'
AustinOsborne,BGSU,'WR','21','230','11.0','42','0'
Je'QuanBurton,FAU,'WR','18','230','12.8','39','2'
QuintonLane,JVST,'WR','22','230','10.5','30','1'
JalenBracey,FIU,'WR','20','230','11.5','45','1'
TroyStellato,CLEM,'WR','28','229','8.2','18','1'
DuceRobinson,USC,'WR','9','229','25.4','71','1'
MikeyMatthews,UTAH,'WR','25','229','9.2','40','0'
BrashardSmith,MIA,'WR','17','228','13.4','54','2'
CarnellTate,OSU,'WR','14','228','16.3','55','1'
MarionLukes,CMU,'RB','23','228','9.9','23','0'
RayDavis,UK,'RB','19','227','11.9','58','5'
MichaelHarrison,COLO,'TE','27','227','8.4','21','4'
SenikaMcKie,UNLV,'WR','17','227','13.4','28','0'
BaylinBrooks,SDSU,'WR','13','227','17.5','37','1'
DarryleSimmons,MRSH,'WR','22','226','10.3','31','0'
LarryStephens,TOL,'WR','18','226','12.6','28','2'
XavierGuillory,ASU,'WR','21','226','10.8','47','1'
DonovanEdwards,MICH,'RB','24','225','9.4','37','0'
KoaliNishigaya,HAW,'WR','29','225','7.8','29','1'
ColinWeber,CLT,'TE','25','225','9.0','40','0'
JaylinLucas,IU,'RB','32','225','7.0','44','2'
TobiasMerriweather,ND,'WR','11','224','20.4','75','1'
OscarDelp,UGA,'TE','18','224','12.4','41','3'
HalPresley,BAY,'WR','17','222','13.1','47','0'
JustinRobinson,MSST,'WR','18','221','12.3','30','0'
TruEdwards,LT,'WR','17','221','13.0','36','2'
SpencerCurtis,NEV,'WR','19','220','11.6','73','1'
ChamonMetayer,CIN,'TE','19','220','11.6','35','3'
ThomasFidoneII,NEB,'TE','19','219','11.5','29','4'
OllieGordonII,OKST,'RB','22','219','10.0','50','1'
LeonJohnsonIII,OKST,'WR','10','219','21.9','67','0'
TreytonWelch,WYO,'TE','22','218','9.9','22','2'
JakeJohnson,TA&M,'TE','22','218','9.9','28','3'
AmariNiblack,ALA,'TE','12','218','18.2','39','3'
BhayshulTuten,VT,'RB','24','218','9.1','30','2'
MakaiJackson,APP,'WR','12','218','18.2','67','1'
BruMcCoy,TENN,'WR','17','217','12.8','55','1'
RJHarvey,UCF,'RB','15','217','14.5','50','2'
KevinColeman,LOU,'WR','18','217','12.1','40','1'
RiverHelms,WKU,'TE','14','217','15.5','63','3'
KyreDuplessis,CCU,'WR','13','217','16.7','64','1'
