Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Nicholas Rinaldi,VAN,['LB'],['8'],['10'],['18'],['0.0'],['68'],['0'],['1'],['13'],['0'],['0']
Cian Slone,USU,['DE'],['10'],['8'],['18'],['2.0'],['0'],['3'],['0'],['0'],['0'],['0']
Thomas Anderson,UNLV,['DB'],['15'],['3'],['18'],['0.0'],['56'],['1'],['1'],['8'],['0'],['1']
Dereck Moore,UNM,['S'],['10'],['8'],['18'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Taijh Alston,COLO,['DE'],['11'],['6'],['17'],['2.5'],['0'],['1'],['0'],['0'],['0'],['0']
Xavier Thomas,CLEM,['DE'],['11'],['6'],['17'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ja'Quon Griffin,CCU,['DL'],['6'],['11'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Hasaan Hypolite,HOU,['LB'],['10'],['7'],['17'],['0.0'],['37'],['0'],['0'],['0'],['0'],['0']
Antonio Grier,ARK,['LB'],['5'],['12'],['17'],['0.0'],['0'],['0'],['1'],['25'],['1'],['0']
Caleb Okechukwu,SYR,['DL'],['7'],['10'],['17'],['2.0'],['28'],['0'],['0'],['0'],['0'],['0']
Realus George Jr.,MIZ,['DL'],['5'],['12'],['17'],['1.5'],['13'],['1'],['0'],['0'],['0'],['0']
Jordan Miller,SMU,['DT'],['5'],['12'],['17'],['0.5'],['42'],['1'],['0'],['0'],['0'],['0']
Chris Mills,TXST,['CB'],['11'],['6'],['17'],['0.0'],['7'],['4'],['0'],['0'],['0'],['0']
Chad Bailey,MIZ,['LB'],['7'],['10'],['17'],['1.0'],['17'],['1'],['0'],['0'],['0'],['1']
Elijah McAllister,AUB,['LB'],['5'],['12'],['17'],['1.0'],['0'],['1'],['0'],['0'],['0'],['0']
Elijah Williams,EMU,['LB'],['9'],['8'],['17'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
James Makszin,BALL,['DL'],['2'],['15'],['17'],['0.5'],['0'],['0'],['0'],['0'],['0'],['0']
Tyler Baylor,KENT,['DL'],['5'],['12'],['17'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Austin Fontaine,CLT,['OL'],['6'],['11'],['17'],['0.0'],['8'],['1'],['0'],['0'],['0'],['0']
Micah Bland,ARST,['DL'],['3'],['14'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kenyonte Davis,WKU,['DL'],['10'],['7'],['17'],['0.5'],['4'],['0'],['0'],['0'],['0'],['0']
De'Monte Russell,MSST,['DE'],['3'],['14'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Keenan Garber,KSU,['CB'],['16'],['1'],['17'],['0.0'],['14'],['3'],['0'],['0'],['0'],['0']
Boone Bonnema,WMU,['LB'],['9'],['8'],['17'],['2.5'],['0'],['0'],['0'],['0'],['0'],['0']
Clayton Bush,ILL,['DB'],['9'],['8'],['17'],['0.0'],['18'],['1'],['0'],['0'],['0'],['0']
Nalu Emerson,HAW,['LB'],['11'],['6'],['17'],['1.0'],['0'],['0'],['0'],['0'],['0'],['1']
Deandre Jules,PITT,['DL'],['10'],['7'],['17'],['1.0'],['0'],['0'],['0'],['0'],['0'],['1']
Tarian Lee Jr.,GASO,['LB'],['12'],['5'],['17'],['0.0'],['20'],['1'],['0'],['0'],['0'],['0']
Mike Lockhart,WVU,['DL'],['7'],['10'],['17'],['0.5'],['3'],['0'],['0'],['0'],['0'],['0']
Blaine Spires,USU,['DE'],['7'],['10'],['17'],['2.0'],['0'],['1'],['0'],['0'],['0'],['1']
Nic Toomer,IU,['DB'],['15'],['2'],['17'],['1.0'],['38'],['2'],['1'],['0'],['0'],['0']
Rason Williams II,LT,['DL'],['5'],['12'],['17'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jaylen Harrell,MICH,['DE'],['6'],['11'],['17'],['3.5'],['9'],['0'],['0'],['0'],['0'],['2']
Myles Slusher,COLO,['S'],['16'],['1'],['17'],['1.0'],['0'],['1'],['0'],['0'],['0'],['0']
Philip Blidi,IU,['DL'],['5'],['12'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Myles Jackson,IU,['LB'],['11'],['6'],['17'],['1.0'],['21'],['0'],['0'],['0'],['0'],['1']
Cletus Mathurin,MASS,['DT'],['6'],['11'],['17'],['0.5'],['18'],['0'],['0'],['0'],['0'],['0']
Da'Raun McKinney,CMU,['DB'],['13'],['4'],['17'],['0.0'],['0'],['4'],['0'],['0'],['0'],['0']
Nelson Paul,SMU,['DE'],['9'],['8'],['17'],['3.0'],['19'],['0'],['0'],['0'],['0'],['0']
Jarius Reimonenq,JMU,['S'],['8'],['9'],['17'],['1.0'],['0'],['4'],['1'],['1'],['0'],['1']
Sayyid Stevens,ODU,['LB'],['3'],['14'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tiaoalii Savea,ARIZ,['DL'],['6'],['11'],['17'],['1.5'],['0'],['0'],['0'],['0'],['0'],['0']
Cam Jeffery,ARST,['LB'],['10'],['7'],['17'],['0.0'],['14'],['0'],['0'],['0'],['0'],['0']
Isaiah Gibson Sr.,MRSH,['DL'],['0'],['17'],['17'],['0.5'],['0'],['0'],['0'],['0'],['0'],['0']
Jay Jones,USM,['S'],['5'],['12'],['17'],['0.0'],['5'],['0'],['0'],['0'],['0'],['0']
Kobee Minor,IU,['DB'],['13'],['4'],['17'],['0.0'],['0'],['3'],['0'],['0'],['0'],['0']
Kevin Harris,GT,['DL'],['9'],['8'],['17'],['1.0'],['46'],['0'],['0'],['0'],['0'],['0']
Ray Thornton III,UAB,['S'],['8'],['9'],['17'],['0.0'],['0'],['3'],['0'],['0'],['0'],['0']
Chico Bennett Jr.,UVA,['DE'],['8'],['9'],['17'],['0.0'],['43'],['0'],['0'],['0'],['0'],['0']
Adrian Cole,FIU,['DB'],['9'],['8'],['17'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Darius Hodges,TULN,['DL'],['12'],['5'],['17'],['5.5'],['0'],['0'],['0'],['0'],['0'],['0']
Byron Murphy II,TEX,['DL'],['8'],['9'],['17'],['2.5'],['51'],['0'],['0'],['0'],['0'],['0']
Kaleb Ford-Dement,TXST,['CB'],['13'],['4'],['17'],['0.0'],['11'],['5'],['1'],['17'],['0'],['0']
Eddie Williams,FAU,['LB'],['6'],['11'],['17'],['0.0'],['18'],['1'],['0'],['0'],['0'],['0']
Johnny Dixon,PSU,['CB'],['13'],['4'],['17'],['2.0'],['0'],['3'],['1'],['21'],['0'],['0']
Dom Jones,CSU,['DB'],['12'],['5'],['17'],['0.0'],['0'],['2'],['1'],['0'],['0'],['0']
George Wolo,BUFF,['DT'],['9'],['8'],['17'],['2.5'],['0'],['0'],['0'],['0'],['0'],['0']
Byron Turner Jr.,FSU,['DL'],['8'],['9'],['17'],['1.0'],['36'],['0'],['0'],['0'],['0'],['0']
D'Anta Johnson,ECU,['DL'],['8'],['9'],['17'],['1.0'],['11'],['0'],['0'],['0'],['0'],['1']
Rodney Mathews,OHIO,['DT'],['1'],['16'],['17'],['0.5'],['0'],['1'],['1'],['0'],['0'],['0']
Jordan Thompson,RUTG,['DL'],['5'],['12'],['17'],['0.0'],['0'],['0'],['1'],['2'],['0'],['0']
Kuao Peihopa,HAW,['DL'],['10'],['7'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Macyo Williams,KENT,['DL'],['6'],['11'],['17'],['1.5'],['0'],['0'],['0'],['0'],['0'],['0']
Tommy Akingbesote,MD,['DL'],['8'],['9'],['17'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Jordan Lovett,UK,['DB'],['10'],['7'],['17'],['0.0'],['11'],['0'],['0'],['0'],['0'],['0']
Amarian Williams,LIB,['CB'],['11'],['6'],['17'],['0.0'],['0'],['2'],['0'],['0'],['0'],['0']
Ryan Watts,TEX,['DB'],['14'],['3'],['17'],['0.0'],['12'],['2'],['0'],['0'],['0'],['0']
Dani Dennis-Sutton,PSU,['DE'],['10'],['7'],['17'],['2.5'],['37'],['1'],['0'],['0'],['0'],['2']
Sione Hala,BC,['DB'],['9'],['8'],['17'],['1.0'],['3'],['0'],['0'],['0'],['0'],['1']
Tayon Holloway,UNC,['DB'],['15'],['2'],['17'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Matthew McDoom,CCU,['CB'],['12'],['5'],['17'],['0.0'],['50'],['5'],['0'],['0'],['0'],['0']
Luis Medina,TROY,['DT'],['9'],['8'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jereme Robinson,KU,['DL'],['15'],['2'],['17'],['4.5'],['7'],['4'],['0'],['0'],['0'],['0']
Bryce Ramirez,TTU,['LB'],['11'],['6'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Bo Nicolas-Paul,ARMY,['DB'],['12'],['5'],['17'],['0.0'],['36'],['1'],['1'],['44'],['1'],['0']
Elijah Roberts,SMU,['DE'],['10'],['7'],['17'],['5.0'],['0'],['0'],['0'],['0'],['0'],['0']
Gabriel Iniguez,NMSU,['DT'],['7'],['10'],['17'],['2.0'],['0'],['1'],['0'],['0'],['0'],['0']
Kyler Drake,UNM,['DE'],['6'],['11'],['17'],['1.5'],['0'],['0'],['0'],['0'],['0'],['0']
Jordan Mahoney,MASS,['CB'],['13'],['4'],['17'],['0.0'],['15'],['2'],['0'],['0'],['0'],['0']
Edward Vesterinen,WVU,['DL'],['7'],['10'],['17'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Malachi Lawrence,UCF,['DE'],['13'],['4'],['17'],['5.0'],['12'],['1'],['0'],['0'],['0'],['0']
Cashius Howell,BGSU,['LB'],['9'],['8'],['17'],['5.5'],['2'],['1'],['0'],['0'],['0'],['1']
Cyrus McGarrell,NIU,['S'],['11'],['6'],['17'],['0.0'],['0'],['0'],['2'],['35'],['0'],['0']
Donterry Russell,MSST,['DL'],['11'],['6'],['17'],['1.5'],['-6'],['0'],['0'],['0'],['0'],['0']
Wade Woodaz,CLEM,['LB'],['11'],['6'],['17'],['3.0'],['0'],['0'],['2'],['59'],['1'],['0']
AG McGhee,MRSH,['S'],['4'],['13'],['17'],['0.0'],['0'],['0'],['1'],['0'],['0'],['0']
Corey Gordon Jr.,BAY,['S'],['10'],['7'],['17'],['0.0'],['11'],['3'],['0'],['0'],['0'],['0']
Kayin Lee,AUB,['CB'],['12'],['5'],['17'],['0.0'],['0'],['4'],['0'],['0'],['0'],['1']
Everett Roussaw Jr.,UAB,['LB'],['13'],['4'],['17'],['1.0'],['23'],['0'],['0'],['0'],['0'],['0']
Teitum Tuioti,ORE,['LB'],['12'],['5'],['17'],['1.0'],['0'],['1'],['0'],['0'],['0'],['0']
Joseph Adedire,TTU,['LB'],['10'],['7'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tyreak Sapp,FLA,['DL'],['8'],['9'],['17'],['2.0'],['0'],['1'],['0'],['0'],['0'],['2']
Jabari Mack,JVST,['CB'],['11'],['6'],['17'],['0.0'],['0'],['3'],['1'],['34'],['0'],['0']
Jack Sadowsky,ISU,['LB'],['7'],['10'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Cameren Jenkins,UNLV,['DB'],['6'],['11'],['17'],['0.0'],['10'],['1'],['0'],['0'],['0'],['0']
Chance Rucker,MSU,['DB'],['11'],['6'],['17'],['0.0'],['0'],['3'],['1'],['7'],['0'],['0']
Wyatt Gedeon,CCU,['LB'],['9'],['8'],['17'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Landon Robinson,NAVY,['G'],['8'],['9'],['17'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Arion Carter,TENN,['LB'],['8'],['9'],['17'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Kevin Jobity Jr.,SYR,['DL'],['4'],['13'],['17'],['1.5'],['0'],['0'],['0'],['0'],['0'],['1']
KK Meier,NEV,['DB'],['11'],['6'],['17'],['0.0'],['12'],['1'],['1'],['98'],['1'],['1']
Nikhil Webb Walker,NMSU,['LB'],['11'],['6'],['17'],['2.0'],['0'],['0'],['0'],['0'],['0'],['1']
Tupu Alualu,SDSU,['DL'],['7'],['10'],['17'],['2.0'],['1'],['0'],['0'],['0'],['0'],['0']
Tyrice Ivy Jr.,ORST,['DB'],['12'],['5'],['17'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Justin Mascoll,CLEM,['DE'],['11'],['5'],['16'],['0.0'],['13'],['1'],['0'],['0'],['0'],['1']
Daniel Okpoko,SDSU,['DL'],['7'],['9'],['16'],['1.0'],['2'],['3'],['0'],['0'],['0'],['0']
Akeem Smith,SHSU,['DL'],['9'],['7'],['16'],['1.0'],['0'],['0'],['0'],['0'],['0'],['1']
Bryson Washington,WKU,['LB'],['9'],['7'],['16'],['0.0'],['0'],['2'],['1'],['0'],['0'],['1']
Michael Fairbanks II,UAB,['LB'],['9'],['7'],['16'],['0.5'],['27'],['0'],['0'],['0'],['0'],['3']
Tyler Manoa,ARIZ,['DL'],['6'],['10'],['16'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
John Blunt Jr.,TXST,['CB'],['12'],['4'],['16'],['1.0'],['8'],['1'],['0'],['0'],['0'],['1']
Bill Norton,ARIZ,['DL'],['6'],['10'],['16'],['0.0'],['0'],['1'],['0'],['0'],['0'],['1']
Chike Anigbogu,RICE,['S'],['12'],['4'],['16'],['2.0'],['13'],['0'],['0'],['0'],['0'],['1']
Jowon Briggs,CIN,['DE'],['6'],['10'],['16'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Cavon Butler,TOL,['DT'],['3'],['13'],['16'],['0.5'],['0'],['0'],['0'],['0'],['0'],['0']
Lama Lavea,AKR,['DL'],['4'],['12'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tavion Woodard,BALL,['DL'],['5'],['11'],['16'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Myles Murphy,UNC,['DL'],['8'],['8'],['16'],['0.0'],['5'],['0'],['0'],['0'],['0'],['0']
Norell Pollard,VT,['DL'],['4'],['12'],['16'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Octavious Oxendine,UK,['DL'],['10'],['6'],['16'],['0.5'],['0'],['0'],['0'],['0'],['0'],['0']
Gary Smith III,UCLA,['DL'],['6'],['10'],['16'],['2.0'],['9'],['0'],['0'],['0'],['0'],['0']
Corey Thornton,UCF,['DB'],['15'],['1'],['16'],['0.0'],['0'],['5'],['2'],['3'],['0'],['0']
Rayshaun Benny,MICH,['DL'],['8'],['8'],['16'],['1.0'],['5'],['1'],['0'],['0'],['0'],['0']
C.J. Burton,CLT,['DB'],['9'],['7'],['16'],['0.0'],['0'],['1'],['1'],['0'],['0'],['0']
Jason Marshall Jr.,FLA,['CB'],['11'],['5'],['16'],['0.0'],['40'],['6'],['0'],['0'],['0'],['0']
Ladarius Tennison,MISS,['S'],['10'],['6'],['16'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Shamar McCollum,GAST,['LB'],['6'],['10'],['16'],['0.0'],['6'],['0'],['0'],['0'],['0'],['0']
Kevon Darton,SYR,['DL'],['10'],['6'],['16'],['3.0'],['41'],['0'],['0'],['0'],['0'],['1']
Brendan Mott,KSU,['DE'],['13'],['3'],['16'],['1.0'],['0'],['1'],['0'],['0'],['0'],['1']
Alex Hogan,HOU,['DB'],['14'],['2'],['16'],['0.0'],['0'],['3'],['0'],['0'],['0'],['0']
Brandon Wright,MSU,['DL'],['2'],['14'],['16'],['2.0'],['32'],['0'],['0'],['0'],['0'],['0']
Max Williams,USC,['S'],['13'],['3'],['16'],['0.0'],['0'],['2'],['1'],['39'],['0'],['0']
Jordan Cobbs,SJSU,['LB'],['11'],['5'],['16'],['0.0'],['16'],['1'],['0'],['0'],['0'],['0']
Jackson Barrow,TOL,['LB'],['6'],['10'],['16'],['0.5'],['20'],['0'],['0'],['0'],['0'],['0']
Trimarcus Cheeks,HOU,['LB'],['9'],['7'],['16'],['1.0'],['0'],['1'],['0'],['0'],['0'],['0']
Devyn Coles,JMU,['CB'],['12'],['4'],['16'],['0.0'],['0'],['3'],['1'],['7'],['0'],['0']
Chris Frey,ARMY,['DL'],['6'],['10'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Denzel Daxon,ILL,['DL'],['5'],['11'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Cale Sanders Jr.,SMU,['S'],['10'],['6'],['16'],['0.0'],['0'],['5'],['1'],['15'],['0'],['0']
Tyreek Chappell,TA&M,['DB'],['8'],['8'],['16'],['0.0'],['0'],['4'],['0'],['0'],['0'],['0']
Kyonte Hamilton,RUTG,['DL'],['5'],['11'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Charles Esters III,TTU,['LB'],['5'],['11'],['16'],['2.0'],['1'],['0'],['0'],['0'],['0'],['1']
Tyson Lee,WMU,['DL'],['9'],['7'],['16'],['0.0'],['4'],['0'],['0'],['0'],['0'],['0']
Mikai Gbayor,NEB,['LB'],['9'],['7'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Elijah Rikard,CMU,['DB'],['9'],['7'],['16'],['0.0'],['0'],['1'],['1'],['0'],['0'],['0']
Tyrell Raby,MTSU,['CB'],['13'],['3'],['16'],['0.0'],['0'],['5'],['2'],['18'],['0'],['0']
Joey Stemler,BALL,['LB'],['5'],['11'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Miguel Jackson,CLT,['DE'],['6'],['10'],['16'],['2.0'],['0'],['0'],['0'],['0'],['0'],['0']
Keon Sabb,MICH,['DB'],['8'],['8'],['16'],['0.5'],['15'],['2'],['2'],['28'],['1'],['0']
T.J. Jackson,TROY,['DE'],['11'],['5'],['16'],['1.0'],['0'],['0'],['0'],['0'],['0'],['1']
Cole Nelson,VT,['DL'],['4'],['12'],['16'],['1.5'],['20'],['0'],['0'],['0'],['0'],['1']
Joshua Eaton,TXST,['CB'],['13'],['3'],['16'],['0.0'],['0'],['5'],['0'],['0'],['0'],['0']
Glendon Miller,MD,['DB'],['13'],['3'],['16'],['0.0'],['28'],['2'],['2'],['15'],['0'],['0']
Tre Colbert,MD,['DL'],['8'],['8'],['16'],['3.0'],['0'],['0'],['0'],['0'],['0'],['1']
Owen Pewee,UTSA,['LB'],['10'],['6'],['16'],['1.0'],['0'],['1'],['1'],['0'],['0'],['0']
John Lewis,MSST,['LB'],['5'],['11'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tariq Jones,HAW,['DL'],['7'],['9'],['16'],['1.0'],['9'],['0'],['0'],['0'],['0'],['0']
Bennett Adler,AKR,['DL'],['4'],['12'],['16'],['0.5'],['0'],['0'],['0'],['0'],['0'],['0']
Jordan Phillips,MD,['DL'],['7'],['9'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jeremiah Wilson,SYR,['DB'],['13'],['3'],['16'],['0.0'],['0'],['5'],['1'],['34'],['1'],['0']
Ken Willis,CIN,['S'],['8'],['8'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Chris Johnson,SDSU,['CB'],['8'],['8'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Zach Neilsen,TLSA,['LB'],['7'],['9'],['16'],['0.0'],['1'],['1'],['0'],['0'],['0'],['0']
C.J. McCray,VT,['DL'],['6'],['10'],['16'],['3.5'],['9'],['0'],['0'],['0'],['0'],['0']
Jamond Gordon,MISS,['DT'],['6'],['10'],['16'],['1.5'],['26'],['0'],['0'],['0'],['0'],['0']
Daymond Williams,BUFF,['DT'],['7'],['9'],['16'],['1.0'],['0'],['1'],['0'],['0'],['0'],['0']
Chrishawn Gordon,FRES,['DB'],['10'],['6'],['16'],['1.0'],['8'],['1'],['0'],['0'],['0'],['0']
Tim Hardiman,ARST,['DL'],['8'],['8'],['16'],['1.5'],['0'],['2'],['0'],['0'],['0'],['0']
Trejon Hugue,UTEP,['S'],['10'],['6'],['16'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Tyrin Bradley,WVU,['LB'],['10'],['6'],['16'],['2.5'],['2'],['1'],['0'],['0'],['0'],['0']
NuNu Campbell,TLSA,['CB'],['11'],['5'],['16'],['0.0'],['1'],['1'],['0'],['0'],['0'],['0']
JD Drew,USU,['CB'],['9'],['7'],['16'],['0.0'],['4'],['2'],['0'],['0'],['0'],['0']
Jaylen Gardner,CSU,['DB'],['10'],['6'],['16'],['0.0'],['28'],['1'],['0'],['0'],['0'],['0']
Lionell Whitaker,MD,['DB'],['11'],['5'],['16'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Bryce Dixon,LIB,['DT'],['4'],['12'],['16'],['0.5'],['0'],['2'],['0'],['0'],['0'],['1']
Stone Combs,NEV,['LB'],['9'],['7'],['16'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Gavriel Lightfoot,FRES,['DL'],['7'],['9'],['16'],['0.0'],['14'],['0'],['0'],['0'],['0'],['0']
Sterling Webb,NMSU,['DT'],['5'],['11'],['16'],['2.5'],['0'],['0'],['0'],['0'],['0'],['0']
Latrell Bullard,GASO,['DL'],['5'],['11'],['16'],['0.0'],['38'],['1'],['0'],['0'],['0'],['0']
Daiquan White,EMU,['DB'],['9'],['7'],['16'],['0.0'],['0'],['11'],['0'],['0'],['0'],['0']
James Pearce Jr.,TENN,['DL'],['11'],['5'],['16'],['7.0'],['25'],['0'],['0'],['0'],['0'],['1']
Tatuo Martinson,UNLV,['DL'],['5'],['11'],['16'],['0.5'],['0'],['0'],['0'],['0'],['0'],['0']
Jamaree Caldwell,HOU,['DL'],['13'],['3'],['16'],['4.0'],['4'],['0'],['0'],['0'],['0'],['1']
Mose Phillips III,VT,['S'],['8'],['8'],['16'],['0.0'],['55'],['0'],['0'],['0'],['0'],['0']
Kendel Dolby,OU,['DB'],['12'],['4'],['16'],['0.0'],['0'],['1'],['2'],['7'],['0'],['0']
Justin Rhodes,GASO,['DL'],['8'],['8'],['16'],['0.5'],['2'],['2'],['0'],['0'],['0'],['1']
Rashion Hodge,WKU,['LB'],['10'],['6'],['16'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
A'Marion McCoy,BOIS,['CB'],['12'],['4'],['16'],['0.0'],['0'],['3'],['1'],['0'],['0'],['0']
Devonyal Lofton,BUFF,['DE'],['10'],['6'],['16'],['1.0'],['39'],['0'],['0'],['0'],['0'],['0']
Tyler Martinez,NMSU,['LB'],['7'],['9'],['16'],['0.0'],['17'],['1'],['0'],['0'],['0'],['0']
Nyzier Fourqurean,WIS,['CB'],['9'],['7'],['16'],['0.0'],['4'],['1'],['0'],['0'],['0'],['0']
Isaiah Nichols,PUR,['DL'],['10'],['5'],['15'],['1.0'],['41'],['0'],['0'],['0'],['0'],['0']
Amari Gainer,UNC,['LB'],['10'],['5'],['15'],['2.0'],['35'],['1'],['0'],['0'],['0'],['0']
Taylor Upshaw,ARIZ,['LB'],['7'],['8'],['15'],['6.5'],['0'],['0'],['0'],['0'],['0'],['1']
DJ Schramm,BOIS,['LB'],['10'],['5'],['15'],['0.0'],['13'],['0'],['0'],['0'],['0'],['0']
Cam Goode,MICH,['DL'],['6'],['9'],['15'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Anthony Nelson,DUKE,['DE'],['6'],['9'],['15'],['0.0'],['13'],['0'],['0'],['0'],['0'],['1']
DeAndre Hollins,CLT,['DB'],['8'],['7'],['15'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Steven Comstock,FRES,['DB'],['10'],['5'],['15'],['0.0'],['15'],['1'],['0'],['0'],['0'],['0']
Eli'jah Winston,NEV,['LB'],['6'],['9'],['15'],['1.0'],['0'],['1'],['0'],['0'],['0'],['0']
Julian Barnett,MEM,['DB'],['10'],['5'],['15'],['0.0'],['2'],['1'],['0'],['0'],['0'],['0']
Storm Duck,LOU,['DB'],['11'],['4'],['15'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Myles Farmer,SYR,['DB'],['9'],['6'],['15'],['0.0'],['0'],['0'],['0'],['0'],['0'],['1']
Nicktroy Fortune,UTSA,['CB'],['11'],['4'],['15'],['0.0'],['0'],['3'],['1'],['0'],['0'],['0']
Roman Harrison,TENN,['DL'],['9'],['6'],['15'],['0.0'],['6'],['0'],['0'],['0'],['0'],['0']
Cam Hart,ND,['CB'],['10'],['5'],['15'],['0.0'],['0'],['3'],['0'],['0'],['0'],['3']
Daniel Heimuli,ARIZ,['LB'],['4'],['11'],['15'],['0.0'],['1'],['0'],['0'],['0'],['0'],['0']
Brock Higdon,USA,['DL'],['6'],['9'],['15'],['3.0'],['0'],['1'],['0'],['0'],['0'],['0']
Nana Osafo-Mensah,ND,['DL'],['8'],['7'],['15'],['2.0'],['1'],['0'],['0'],['0'],['0'],['0']
C.J. Clark,NCSU,['DT'],['4'],['11'],['15'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
William Nimmo Jr.,UCLA,['DB'],['8'],['7'],['15'],['0.0'],['24'],['0'],['0'],['0'],['0'],['0']
Tarique Barnes,ILL,['LB'],['8'],['7'],['15'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ja'Quan Sheppard,MD,['DB'],['13'],['2'],['15'],['0.0'],['0'],['5'],['0'],['0'],['0'],['0']
Corey Suttle,M-OH,['DL'],['11'],['4'],['15'],['2.0'],['1'],['0'],['0'],['0'],['0'],['0']
Jacoby Windmon,MSU,['LB'],['5'],['10'],['15'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
An'Darius Coffey,MEM,['DB'],['11'],['4'],['15'],['1.0'],['27'],['2'],['0'],['0'],['0'],['0']
Van Fillinger,UTAH,['DE'],['9'],['6'],['15'],['2.5'],['0'],['0'],['0'],['0'],['0'],['1']
Sione Fotu,UTAH,['LB'],['6'],['9'],['15'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ruke Orhorhoro,CLEM,['DT'],['9'],['6'],['15'],['3.0'],['0'],['1'],['0'],['0'],['0'],['0']
Gio Paez,WIS,['DE'],['4'],['11'],['15'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Josaih Hayes,UK,['DL'],['3'],['12'],['15'],['0.5'],['6'],['1'],['0'],['0'],['0'],['0']
Wesley Bailey,RUTG,['DL'],['5'],['10'],['15'],['3.0'],['0'],['3'],['0'],['0'],['0'],['0']
Chateau Reed,BAY,['CB'],['11'],['4'],['15'],['0.0'],['11'],['1'],['0'],['0'],['0'],['0']
Maason Smith,LSU,['DT'],['6'],['9'],['15'],['1.0'],['0'],['2'],['0'],['0'],['0'],['0']
Dominique Ratcliff,TXST,['DT'],['8'],['7'],['15'],['0.0'],['18'],['0'],['0'],['0'],['0'],['0']
Jalen Catalon,TEX,['DB'],['13'],['2'],['15'],['0.0'],['0'],['0'],['0'],['0'],['0'],['1']
Taurean Carter,ARK,['DL'],['4'],['11'],['15'],['1.0'],['32'],['0'],['0'],['0'],['0'],['0']
Eric Hicks Jr.,TULN,['DL'],['7'],['8'],['15'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Dorian Strong,VT,['CB'],['10'],['5'],['15'],['0.0'],['0'],['5'],['1'],['32'],['0'],['0']
Ty Robinson,NEB,['DL'],['3'],['12'],['15'],['1.0'],['84'],['1'],['0'],['0'],['0'],['0']
Mac Uihlein,NU,['LB'],['12'],['3'],['15'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
James Rawls,ORST,['DL'],['9'],['6'],['15'],['0.5'],['0'],['1'],['0'],['0'],['0'],['1']
