Player,School,POS,ATT,YDS,AVG,LNG,TD
JuwaunPrice,SYR,'RB','40','129','3.2','22','0'
JaylenAnderson,WVU,'RB','41','129','3.1','15','1'
JahmylJeter,TXST,'RB','29','128','4.4','22','4'
KobeJohnson,CSU,'RB','44','128','2.9','13','1'
DemieSumo-Karngbaye,UK,'RB','14','127','9.1','42','1'
JaziunPatterson,IOWA,'RB','32','127','4.0','59','1'
DrakeAnderson,AKR,'RB','37','126','3.4','15','1'
KeyonMozee,M-OH,'RB','28','126','4.5','23','2'
MadduxMadsen,BOIS,'QB','30','126','4.2','27','2'
AidenCalvert,AFA,'RB','14','126','9.0','22','0'
DillonBell,UGA,'WR','23','124','5.4','21','2'
QuintenJoyner,USC,'RB','16','124','7.8','47','1'
TyboRogers,WASH,'RB','32','124','3.9','15','0'
MikeFranklin,UTEP,'RB','30','124','4.1','9','2'
BryceWilliams,MINN,'RB','36','123','3.4','8','1'
SamuelBrownV,RUTG,'RB','36','123','3.4','11','2'
TommyUlatowski,KENT,'QB','35','123','3.5','39','1'
DorianLewis,UNM,'RB','24','123','5.1','23','0'
DylanPaine,WSU,'RB','20','121','6.1','52','1'
ZylanPerry,UL,'RB','37','120','3.2','17','1'
JoshuaFleeks,NEB,'WR','12','117','9.8','74','1'
CashJones,UGA,'RB','15','117','7.8','57','1'
BoNix,ORE,'QB','37','116','3.1','16','5'
DakereonJoyner,SC,'RB','49','115','2.3','16','5'
MichaelJohnsonJr.,FAU,'QB','17','115','6.8','27','5'
WillieShawIII,TOL,'RB','28','115','4.1','14','0'
NiccoMarchiol,WVU,'QB','32','114','3.6','22','1'
SedrickIrvin,STAN,'RB','26','113','4.3','45','1'
KevinConcepcion,NCSU,'WR','13','112','8.6','50','0'
Gi'BranPayne,ND,'RB','31','111','3.6','12','1'
CamDavis,SDSU,'RB','32','110','3.4','25','0'
JaivianThomas,CAL,'RB','18','110','6.1','27','1'
DylanHopkins,UNM,'QB','43','108','2.5','48','1'
TreyPotts,PSU,'RB','20','107','5.3','20','2'
ParkerNavarro,OHIO,'QB','10','107','10.7','52','0'
JamaalBell,NEV,'WR','24','107','4.5','31','1'
KalebJackson,LSU,'RB','20','107','5.3','21','2'
D.Q.James,WYO,'RB','35','106','3.0','15','0'
BennettGalloway,ULM,'RB','17','106','6.2','24','0'
DamariusGood,TXST,'RB','11','105','9.5','24','0'
CarlosDelRio-Wilson,SYR,'QB','21','105','5.0','27','1'
VeltonGardner,SMU,'RB','27','104','3.9','23','1'
JacobFields,LT,'DB','24','104','4.3','30','2'
XavierJohnson,OSU,'WR','17','102','6.0','15','0'
TimmyMcClain,UCF,'QB','39','102','2.6','22','1'
TyrellRobinson,ARMY,'RB','25','102','4.1','25','1'
AshtonHayes,NEV,'RB','30','102','3.4','35','0'
IsaacJernagin,SJSU,'WR','10','101','10.1','45','0'
EliHeidenreich,NAVY,'RB','12','101','8.4','46','1'
JakobiBuchanan,ARMY,'RB','35','100','2.9','10','3'
DrewAllar,PSU,'QB','53','100','1.9','21','3'
JaydenMcGowan,VAN,'WR','15','100','6.7','18','0'
JamariFerrell,WYO,'RB','27','100','3.7','17','1'
JohnEmeryJr.,LSU,'RB','21','99','4.7','17','1'
IkeDaniels,SYR,'RB','17','99','5.8','22','0'
CalvinHill,TXST,'RB','31','98','3.2','13','0'
LatrelePalmer,JMU,'RB','27','97','3.6','13','1'
AaronTurner,CIN,'WR','11','97','8.8','26','0'
MartinBlake,SDSU,'RB','26','97','3.7','12','1'
