Player,School,POS,ATT,YDS,AVG,LNG,TD
DarrenLloyd,CCU,'RB','2','6','3.0','4','0'
MauriceMazzccua,NEB,'RB','1','6','6.0','6','0'
TravisGlover,GAST,'OT','1','5','5.0','5','0'
JaxSherrard,SHSU,'TE','1','5','5.0','5','0'
JJBranham,SYR,'RB','3','5','1.7','3','0'
OscarCardenas,UTSA,'TE','2','5','2.5','3','0'
LincolnVictor,WSU,'WR','1','5','5.0','5','0'
DanteWright,TEM,'WR','2','5','2.5','4','0'
AnthonyGould,ORST,'WR','2','5','2.5','4','0'
KobieCampbell,RICE,'WR','5','5','1.0','8','0'
JaysonJones,JVST,'WR','1','5','5.0','5','0'
IzayahCummings,UK,'TE','1','5','5.0','5','0'
ElijahMetcalf,MTSU,'WR','1','5','5.0','5','0'
CourtneyJackson,ARST,'WR','1','5','5.0','5','0'
AyirAsante,WYO,'WR','3','5','1.7','10','0'
DCTabscott,UNM,'QB','1','5','5.0','5','0'
MareyohnHrabowski,WMU,'QB','2','5','2.5','4','0'
TariqSims,ODU,'RB','2','5','2.5','3','0'
BradenDavis,SYR,'QB','2','5','2.5','4','0'
AJDuffy,FSU,'QB','3','5','1.7','9','0'
BrettGriffis,JMU,'QB','2','5','2.5','4','0'
OctavianSmithJr.,MD,'WR','1','5','5.0','5','0'
JadenRashada,ASU,'QB','8','5','0.6','9','0'
TimGans,NMSU,'RB','1','5','5.0','5','0'
BillyAtkins,JMU,'QB','2','5','2.5','6','0'
LouisBrownIV,CSU,'WR','2','5','2.5','3','0'
TavenCurry,UAB,'RB','1','5','5.0','5','0'
CharlesKellom,AKR,'RB','4','5','1.3','4','0'
LondonHumphreys,VAN,'WR','1','5','5.0','5','0'
SquirrelWhite,TENN,'WR','1','5','5.0','5','0'
HaroldFanninJr.,BGSU,'TE','5','5','1.0','5','0'
DariusLassiter,BYU,'WR','1','5','5.0','5','0'
CannonTurner,AFA,'QB','3','5','1.7','3','0'
DavidEgbe,WAKE,'RB','3','5','1.7','3','0'
JosiahGonzales,UCLA,'DB','3','5','1.7','3','0'
IkeUdengwuIII,EMU,'QB','5','5','1.0','15','0'
ChrisEdmonds,BGSU,'RB','1','5','5.0','5','0'
AnthonySwitzer,USU,'S','1','4','4.0','4','0'
AndyAlfieri,CAL,'FB','2','4','2.0','4','0'
KaedricCobbs,UTSA,'RB','2','4','2.0','2','0'
DianteVines,IOWA,'WR','1','4','4.0','4','0'
SantinoMarucci,WAKE,'QB','8','4','0.5','8','0'
EJHorton,WVU,'WR','1','4','4.0','4','0'
BillyDozier,NIU,'WR','4','4','1.0','5','0'
C.J.Smith,UGA,'WR','1','4','4.0','4','0'
JarelWilliams,WVU,'WR','1','4','4.0','4','0'
ChristianFrancisco,RICE,'RB','1','4','4.0','4','1'
DraeMcCray,TTU,'WR','1','4','4.0','4','0'
FranklinEstradaII,TCU,'RB','1','4','4.0','4','0'
MikeyMatthews,UTAH,'WR','1','4','4.0','4','0'
KalebBlack,ASU,'WR','4','4','1.0','5','0'
TylerHolzworth,PSU,'RB','3','4','1.3','2','0'
RobertArmes,FAU,'RB','2','4','2.0','2','0'
JaylenMorgan,UNM,'RB','1','4','4.0','4','0'
JarvisGreen,CLEM,'RB','3','4','1.3','2','0'
CharlieMangieri,NU,'TE','1','3','3.0','3','0'
PaytonWilson,NCSU,'LB','1','3','3.0','3','0'
GinoCampiotti,MASS,'TE','1','3','3.0','3','0'
ChaseGriffin,UCLA,'QB','2','3','1.5','9','0'
AmariJohnson,UCF,'WR','2','3','1.5','2','0'
ColeKramer,MINN,'QB','2','3','1.5','4','0'
JalonCalhoun,DUKE,'WR','1','3','3.0','3','0'
XavierLegette,SC,'WR','4','3','0.8','7','0'
GrantWells,VT,'QB','14','3','0.2','10','1'
MookieCooper,MIZ,'WR','1','3','3.0','3','0'
JohnCopenhaver,UNC,'TE','0','3','0.0','3','0'
EvanPrater,CIN,'WR','2','3','1.5','2','0'
JoshAtwood,MASS,'OL','0','3','0.0','3','0'
XavierWhite,TTU,'WR','4','3','0.8','2','0'
JoshuaGray,ORST,'OL','1','3','3.0','3','1'
JoshKelly,WSU,'WR','1','3','3.0','3','0'
DanVillari,SYR,'TE','2','3','1.5','2','0'
GunnarGreenwald,USF,'TE','1','3','3.0','3','0'
RamonBrown,MD,'RB','1','3','3.0','3','0'
TetairoaMcMillan,ARIZ,'WR','1','3','3.0','3','0'
ChaseKetterer,ND,'RB','1','3','3.0','3','0'
KennethWomack,WMU,'WR','0','3','0.0','3','0'
JalenJohnson,AFA,'RB','1','3','3.0','3','0'
TevinCarter,MEM,'QB','3','3','1.0','11','0'
PierceClarkson,LOU,'QB','1','3','3.0','3','0'
JadenGreathouse,ND,'WR','1','3','3.0','3','0'
JohnRandleJr.,UTAH,'RB','2','3','1.5','2','0'
WiseSegarsJr.,CLEM,'RB','1','3','3.0','3','0'
MaxWhite,IOWA,'RB','3','3','1.0','3','1'
SamAssaf,ND,'RB','2','3','1.5','2','0'
BradyDrogosh,CIN,'QB','3','3','1.0','8','0'
MarquisJohnson,MIZ,'WR','1','3','3.0','3','0'
GradyBrosterhous,UVA,'QB','2','3','1.5','2','0'
EthanRhodes,NCSU,'QB','1','3','3.0','3','0'
JakeReichle,ORST,'RB','1','3','3.0','3','0'
HenryDonohue,MICH,'RB','1','3','3.0','3','0'
JayceBrown,KSU,'WR','4','3','0.8','2','0'
KadeFrew,AFA,'RB','1','3','3.0','3','0'
DavidMartin-Robinson,TEM,'TE','2','2','1.0','2','0'
CaseyThompson,FAU,'QB','10','2','0.2','14','0'
TannerKnue,EMU,'WR','1','2','2.0','2','0'
BruMcCoy,TENN,'WR','1','2','2.0','2','0'
RyanHilinski,NU,'QB','1','2','2.0','2','0'
JohnathanBennett,LIB,'QB','1','2','2.0','2','0'
DavisBeville,OU,'QB','1','2','2.0','2','0'
TonkaHemingway,SC,'DT','1','2','2.0','2','1'
JaheimBell,FSU,'TE','4','2','0.5','4','1'
MikeleColasurdo,GAST,'QB','3','2','0.7','10','1'
MicahKelly,TOL,'RB','3','2','0.7','1','0'
JerjuanNewton,TOL,'WR','1','2','2.0','2','0'
JJPegues,MISS,'DT','2','2','1.0','2','0'
RocTaylor,MEM,'WR','2','2','1.0','11','0'
KodyEpps,BYU,'WR','1','2','2.0','2','0'
GrantTisdale,TCU,'QB','1','2','2.0','2','0'
MatthewHayball,VAN,'P','1','2','2.0','2','0'
PeterMontini,CSU,'TE','2','2','1.0','2','0'
QuentinSkinner,KU,'WR','1','2','2.0','2','0'
KeonColeman,FSU,'WR','1','2','2.0','2','0'
KaiyaSheron,UK,'QB','1','2','2.0','2','0'
LewisBond,BC,'WR','1','2','2.0','2','0'
MitchellEvans,ND,'TE','1','2','2.0','2','0'
JesseMirco,OSU,'P','1','2','2.0','2','0'
KyleLowe,MTSU,'QB','1','2','2.0','2','0'
BrianKowall,UCLA,'RB','1','2','2.0','2','0'
OwenMcCown,UTSA,'QB','6','2','0.3','7','0'
MikeJackson,FIU,'WR','1','2','2.0','2','0'
QuintrevionWisner,TEX,'RB','2','2','1.0','2','0'
HalPresley,BAY,'WR','2','2','1.0','3','0'
JonahBurton,BAY,'WR','2','2','1.0','2','0'
BlakeBosma,WMU,'TE','1','2','2.0','2','0'
AnthonyEvansIII,UGA,'WR','1','2','2.0','2','0'
DevonteRoss,TROY,'WR','1','2','2.0','2','0'
DylanRizk,UCF,'QB','2','2','1.0','8','0'
JeremiahConey,VT,'RB','3','2','0.7','4','0'
EliMason,MD,'RB','2','2','1.0','2','0'
BrantAhlfinger,TCU,'RB','1','2','2.0','2','0'
HaydenTimosciek,BGSU,'QB','4','2','0.5','2','0'
TobiOlawole,ARMY,'WR','3','2','0.7','6','0'
JackWestover,WASH,'TE','1','1','1.0','1','1'
DeQueceCarter,IU,'WR','1','1','1.0','1','0'
JeremyHollingsworth,WYO,'RB','1','1','1.0','1','0'
TorryLocklin,KU,'RB','1','1','1.0','1','0'
TajDavis,CAL,'WR','1','1','1.0','1','0'
MarshawnKneeland,WMU,'DL','2','1','0.5','1','1'
ChrisTyree,ND,'WR','2','1','0.5','3','0'
DaejonReynolds,PITT,'WR','1','1','1.0','1','0'
DJLundy,FSU,'LB','1','1','1.0','1','1'
LukeMacPhail,SYR,'QB','1','1','1.0','1','0'
OzzyTrapilo,BC,'OL','0','1','0.0','1','0'
GarrettNussmeier,LSU,'QB','1','1','1.0','1','1'
HampGreene,CLEM,'WR','1','1','1.0','1','0'
EnochNawahine,BYU,'RB','1','1','1.0','1','0'
MalikNabers,LSU,'WR','1','1','1.0','1','0'
AdonaiMitchell,TEX,'WR','2','1','0.5','5','0'
XavierColeman,BC,'RB','1','1','1.0','1','0'
CameronFriel,UNLV,'QB','1','1','1.0','1','1'
TreBradford,LSU,'RB','4','1','0.3','4','1'
JalinConyers,ASU,'TE','2','1','0.5','2','0'
JBMitchellIII,EMU,'WR','1','1','1.0','1','0'
ChaseRoberts,BYU,'WR','1','1','1.0','1','0'
RonTiavaasue,NMSU,'TE','1','1','1.0','1','1'
TylerJefferson,CMU,'QB','1','1','1.0','1','0'
ChrisLewis,TROY,'WR','1','1','1.0','1','0'
KellenStewart,MTSU,'WR','1','1','1.0','1','0'
TaddBarr,BUFF,'WR','1','1','1.0','1','0'
WilliamWatsonIII,VT,'QB','1','1','1.0','1','0'
DijonStanley,UTAH,'RB','6','1','0.2','7','0'
DeAndraBurnsJr.,ARST,'WR','1','1','1.0','1','0'
JoeJackson,KSU,'RB','4','1','0.3','5','0'
MalachiLane,LSU,'RB','1','1','1.0','1','0'
MarlionJackson,LT,'WR','2','1','0.5','5','0'
JaelonBarbarin,MSU,'RB','1','1','1.0','1','0'
JarodBowie,JVST,'WR','1','1','1.0','1','0'
JosiahJohnson,OKST,'TE','1','0','0.0','0','0'
D.J.Twitty,SC,'RB','3','0','0.0','2','0'
SmokeHarris,LT,'WR','8','0','0.0','7','0'
DominickMazotti,SJSU,'TE','1','0','0.0','0','0'
KrisMitchell,FIU,'WR','1','0','0.0','0','0'
JacolbyCriswell,ARK,'QB','1','0','0.0','0','0'
KeAndreLambert-Smith,PSU,'WR','2','0','0.0','2','0'
MarioWilliams,USC,'WR','2','0','0.0','4','0'
NickNash,SJSU,'WR','1','0','0.0','0','0'
MarcusBellon,UTEP,'WR','1','0','0.0','0','0'
Al-JayHenderson,BUFF,'RB','5','0','0.0','2','1'
JhaylinEmbry,BGSU,'WR','1','0','0.0','0','0'
ChasePenry,BOIS,'WR','1','0','0.0','0','0'
BillyWiles,USM,'QB','48','0','0.0','16','1'
KuaoPeihopa,HAW,'DL','1','0','0.0','0','0'
BradenSmith,CIN,'WR','2','0','0.0','0','0'
XavierGuillory,ASU,'WR','1','0','0.0','0','0'
MinayaOlivo,UCLA,'RB','1','0','0.0','0','0'
IsaiahCarlson,UCLA,'RB','1','0','0.0','0','0'
KevinMcNeal,CLEM,'RB','1','0','0.0','0','0'
MaxBrown,FLA,'QB','1','0','0.0','0','0'
JackBrowning,SDSU,'PK','1','0','0.0','0','0'
GavinYates,BAY,'TE','1','0','0.0','0','0'
TurnerHelton,WKU,'QB','1','0','0.0','0','0'
DevanWilliams,TLSA,'WR','1','0','0.0','0','0'
JordanLouie,UNC,'RB','1','0','0.0','0','0'
KendinAlexander,AFA,'WR','1','0','0.0','0','0'
JustinHoladay,UNM,'QB','1','0','0.0','0','0'
KDDorsey,GASO,'WR','1','0','0.0','0','0'
IsaacTeSlaa,ARK,'WR','1','0','0.0','0','0'
MarioAgyen,LOU,'RB','1','0','0.0','0','0'
MarcusVinson,UTEP,'TE','1','0','0.0','0','0'
WillieMcCoy,UTSA,'WR','3','0','0.0','8','0'
KelbyWilliams,ODU,'WR','1','0','0.0','0','0'
JordanYates,SHSU,'QB','2','-1','-0.5','1','0'
LukeDoty,SC,'QB','1','-1','-1.0','0','0'
GriffinMoore,ILL,'TE','1','-1','-1.0','0','0'
MoochieDixon,SMU,'WR','1','-1','-1.0','0','0'
JoeyHobert,TXST,'WR','1','-1','-1.0','0','0'
DonavenMcCulley,IU,'WR','3','-1','-0.3','1','0'
TailiqueWilliams,GAST,'WR','1','-1','-1.0','0','0'
TySimpson,ALA,'QB','12','-1','-0.1','11','2'
KyreDuplessis,CCU,'WR','1','-1','-1.0','0','0'
CharlesSchibler,TULN,'RB','1','-1','-1.0','0','0'
JoshCameron,BAY,'WR','1','-1','-1.0','0','0'
GiovanniSanders,ASU,'WR','2','-1','-0.5','4','0'
CoyEakin,TTU,'WR','1','-1','-1.0','0','0'
KeynanHiggins,SJSU,'WR','1','-1','-1.0','0','0'
YamirKnight,JMU,'WR','1','-1','-1.0','0','0'
JaylonRobinson,TCU,'WR','2','-2','-1.0','1','0'
KavosieySmoke,COLO,'RB','2','-2','-1.0','0','0'
MycahPittman,UTAH,'WR','1','-2','-2.0','0','0'
JayButterfield,SJSU,'QB','2','-2','-1.0','3','0'
JadenAlexis,USF,'WR','1','-2','-2.0','0','0'
BrianGarcia,ULM,'QB','2','-2','-1.0','3','0'
JeremyFlax,UK,'OL','0','-2','0.0','0','0'
BraedynLocke,WIS,'QB','17','-2','-0.1','29','0'
AndrewGlass,KENT,'PK','1','-2','-2.0','0','0'
AshtynHawkins,TXST,'WR','1','-2','-2.0','0','0'
MekhiMews,UGA,'WR','1','-2','-2.0','0','0'
LukeLindenmeyer,NEB,'TE','1','-2','-2.0','0','0'
AddaiLewellen,PUR,'RB','1','-2','-2.0','0','0'
YamilOaxaca,UTEP,'WR','1','-2','-2.0','0','0'
JoeyGatewood,LOU,'TE','1','-3','-3.0','0','0'
JalenKnox,MISS,'WR','1','-3','-3.0','0','0'
CodySimon,OSU,'LB','1','-3','-3.0','0','0'
DanielRichardson,FAU,'QB','24','-3','-0.1','39','0'
ChristianLeary,GT,'WR','1','-3','-3.0','0','0'
JackBech,TCU,'WR','3','-3','-1.0','7','0'
JosephManjackIV,HOU,'WR','2','-3','-1.5','0','0'
EvanStewart,TA&M,'WR','1','-3','-3.0','0','0'
GastonMoore,TENN,'QB','1','-3','-3.0','0','0'
NathanHarris-Waynick,SC,'RB','1','-3','-3.0','0','0'
DonovanBrown,SYR,'WR','1','-3','-3.0','0','0'
XavierShaw,WKU,'DB','0','-3','0.0','0','0'
ParkerKingston,BYU,'WR','5','-3','-0.6','4','0'
KoleWilson,TXST,'WR','1','-3','-3.0','0','0'
JacobDeJesus,UNLV,'WR','3','-3','-1.0','2','0'
JohnPaddock,ILL,'QB','3','-4','-1.3','1','0'
GrantGunnell,SHSU,'QB','4','-4','-1.0','5','0'
ChristianWells,MASS,'WR','2','-4','-2.0','0','0'
JoVoniJohnson-McCray,RICE,'WR','1','-4','-4.0','0','0'
CoreyStewart,BALL,'OL','1','-4','-4.0','0','0'
JhariPatterson,ECU,'WR','2','-4','-2.0','0','0'
DavisWarren,MICH,'QB','2','-4','-2.0','4','0'
NicoRagaini,IOWA,'WR','1','-5','-5.0','0','0'
MonroeYoung,CAL,'WR','2','-5','-2.5','5','0'
DanielJackson,MINN,'WR','1','-5','-5.0','0','0'
TommiHill,NEB,'DB','1','-5','-5.0','0','0'
JustinBall,VAN,'TE','1','-5','-5.0','0','0'
DylanMorris,WASH,'QB','1','-5','-5.0','0','0'
RyanRehkow,BYU,'P','1','-5','-5.0','0','0'
CadeFennegan,BYU,'QB','2','-5','-2.5','0','0'
JadenBray,OKST,'WR','1','-5','-5.0','0','0'
DevinKargman,KENT,'QB','1','-5','-5.0','0','0'
JacobConover,ASU,'QB','10','-5','-0.5','14','0'
CyrusAllen,LT,'WR','1','-5','-5.0','0','0'
ZachMundell,ARMY,'QB','4','-5','-1.3','2','0'
AmadAndersonJr.,TEM,'WR','2','-6','-3.0','0','0'
BenKopenski,TLSA,'DL','1','-6','-6.0','0','0'
LukeGrimm,KU,'WR','1','-6','-6.0','0','0'
DemarcusJonesII,NCSU,'RB','4','-6','-1.5','2','1'
MalachiFields,UVA,'WR','1','-6','-6.0','0','0'
KamrynPerry,IU,'WR','2','-6','-3.0','0','0'
BlakeShapen,BAY,'QB','51','-7','-0.1','27','3'
TannerBailey,SC,'QB','1','-7','-7.0','0','0'
KevinColeman,LOU,'WR','2','-7','-3.5','1','0'
JamesBurns,CONN,'WR','1','-7','-7.0','0','0'
JohnBockII,FIU,'OL','1','-7','-7.0','0','0'
JordySandy,TCU,'P','1','-8','-8.0','0','0'
GooseCrowder,TROY,'QB','4','-8','-2.0','4','0'
ChristianVeilleux,PITT,'QB','22','-8','-0.4','11','0'
ClayMillen,CSU,'QB','2','-8','-4.0','3','0'
GavinHardison,UTEP,'QB','34','-8','-0.2','16','2'
RomanFuller,TLSA,'QB','2','-8','-4.0','0','0'
JairusMack,CLT,'WR','2','-8','-4.0','0','0'
JacariCarter,GAST,'WR','1','-8','-8.0','0','0'
ZavionThomas,MSST,'WR','5','-8','-1.6','4','0'
JoeyCheek,UTAH,'PK','1','-8','-8.0','0','0'
TobinO'Dell,SDSU,'QB','1','-8','-8.0','0','0'
CarterBradley,USA,'QB','33','-9','-0.3','17','1'
StephanBraceyJr.,CMU,'WR','1','-9','-9.0','0','0'
JoshuaCephus,UTSA,'WR','1','-9','-9.0','0','0'
JordanWatkins,MISS,'WR','1','-9','-9.0','0','0'
BrettBuckman,CONN,'WR','1','-9','-9.0','0','0'
GavinMeyers,WIS,'P','1','-9','-9.0','0','0'
BronsonBarron,WKU,'QB','1','-9','-9.0','0','0'
ColePennington,MRSH,'QB','2','-9','-4.5','6','0'
CadeMcConnell,UTEP,'QB','20','-9','-0.4','13','0'
StefanCobbs,BOIS,'WR','2','-10','-5.0','0','0'
MilanTucker,APP,'WR','3','-10','-3.3','3','1'
ShawnCharles,ASU,'WR','1','-10','-10.0','0','0'
KyleWilliams,WSU,'WR','3','-10','-3.3','1','0'
RyanBurger,APP,'QB','4','-10','-2.5','10','0'
Cam'RonMcCoy,EMU,'QB','2','-10','-5.0','0','0'
EmoryWilliams,MIA,'QB','2','-10','-5.0','0','0'
LukeBauer,MIZ,'PK','1','-11','-11.0','2','0'
CameronEdge,MD,'QB','1','-11','-11.0','0','0'
J.T.Shrout,ARST,'QB','4','-12','-3.0','10','0'
HoldenGeriner,AUB,'QB','2','-12','-6.0','0','0'
RyanStaub,COLO,'QB','1','-12','-12.0','0','0'
MichaelPenixJr.,WASH,'QB','15','-13','-0.9','6','1'
MicahBowens,CLT,'QB','1','-13','-13.0','0','0'
CooperAllan,ARMY,'P','1','-13','-13.0','0','0'
ChandlerFields,UL,'QB','6','-15','-2.5','9','0'
JaredWheatley,OHIO,'P','1','-15','-15.0','0','0'
HolmanEdwards,USM,'QB','9','-15','-1.7','18','0'
BryanDomino,CONN,'WR','1','-15','-15.0','0','0'
MaalikMurphy,TEX,'QB','1','-18','-18.0','0','0'
BryceArchie,USF,'QB','5','-20','-4.0','12','0'
LandryLyddy,UAB,'QB','3','-20','-6.7','0','0'
ChrisParson,MSST,'QB','4','-20','-5.0','11','0'
TayvenJackson,IU,'QB','28','-21','-0.8','10','1'
DevinLeary,UK,'QB','27','-22','-0.8','22','1'
MichaelO'Shaughnessy,MSU,'P','1','-22','-22.0','0','0'
EddieLeeMarburger,UTSA,'QB','7','-23','-3.3','5','0'
BenBryant,NU,'QB','35','-24','-0.7','15','2'
HadenCarlson,FIU,'QB','3','-25','-8.3','0','0'
ForrestBrock,TEM,'QB','5','-25','-5.0','4','0'
BraydenFowler-Nicolosi,CSU,'QB','26','-26','-1.0','9','1'
MichaelKern,WAKE,'QB','9','-27','-3.0','7','0'
WillRogers,MSST,'QB','23','-38','-1.7','15','0'
KedonSlovis,BYU,'QB','29','-41','-1.4','21','3'
CadeMcNamara,IOWA,'QB','13','-45','-3.5','18','0'
KaiHorton,TULN,'QB','15','-46','-3.1','8','1'
ConnorBazelak,BGSU,'QB','25','-47','-1.9','16','1'
MichaelAlaimo,KENT,'QB','57','-48','-0.8','24','1'
DrewPyne,ASU,'QB','14','-49','-3.5','11','0'
DanteMoore,UCLA,'QB','34','-49','-1.4','16','0'
LayneHatcher,BALL,'QB','20','-53','-2.7','8','1'
DavisBrin,GASO,'QB','48','-55','-1.1','18','1'
KyleMcCord,OSU,'QB','29','-57','-2.0','9','0'
JTDaniels,RICE,'QB','25','-65','-2.6','16','1'
BraydenSchager,HAW,'QB','74','-71','-1.0','21','1'
TrexlerIvey,CLT,'QB','23','-78','-3.4','12','2'
ShedeurSanders,COLO,'QB','93','-80','-0.9','38','3'
DeaconHill,IOWA,'QB','23','-82','-3.6','7','1'
GunnarWatson,TROY,'QB','36','-88','-2.4','16','1'
GrahamMertz,FLA,'QB','50','-94','-1.9','12','3'
JeffUndercufflerJr.,AKR,'QB','15','-129','-8.6','5','1'
MikeyKeene,FRES,'QB','22','-140','-6.4','4','0'
